palavra,n_vogais,vogais_unicas,letra_0,letra_1,letra_2,letra_3,letra_4,probabilidade,n_consoantes,consoantes_unicas,n_letras_diferentes
praga,2,1,p,r,a,g,a,0.0,3,3,4
ramos,2,2,r,a,m,o,s,0.0004299788749509,3,3,5
romeu,3,3,r,o,m,e,u,0.0,2,2,5
rouen,3,3,r,o,u,e,n,0.0,2,2,5
saara,3,1,s,a,a,r,a,7.477893477407414e-05,2,2,3
santa,2,1,s,a,n,t,a,0.0010282103531435,3,3,4
santo,2,2,s,a,n,t,o,0.0023742311790768,3,3,5
silva,2,2,s,i,l,v,a,0.0002056420706287,3,3,5
souza,3,3,s,o,u,z,a,1.869473369351853e-05,2,2,5
suica,3,3,s,u,i,c,a,5.608420108055561e-05,2,2,5
siria,3,2,s,i,r,i,a,1.869473369351853e-05,2,2,4
sonia,3,3,s,o,n,i,a,0.0,2,2,5
terra,2,2,t,e,r,r,a,0.0080761249556,3,2,4
texas,2,2,t,e,x,a,s,0.0,3,3,5
tomas,2,2,t,o,m,a,s,0.0001121684021611,3,3,5
uniao,4,4,u,n,i,a,o,9.347366846759269e-05,1,1,5
varig,2,2,v,a,r,i,g,0.0,3,3,5
vegas,2,2,v,e,g,a,s,0.0,3,3,5
verbo,2,2,v,e,r,b,o,5.608420108055561e-05,3,3,5
viena,3,3,v,i,e,n,a,1.869473369351853e-05,2,2,5
vista,2,2,v,i,s,t,a,0.0015703576302555,3,3,5
venus,2,2,v,e,n,u,s,3.738946738703707e-05,3,3,5
abade,3,2,a,b,a,d,e,0.0002804210054027,2,2,4
abafa,3,1,a,b,a,f,a,0.0,2,2,3
abafe,3,2,a,b,a,f,e,0.0,2,2,4
abafo,3,2,a,b,a,f,o,0.0,2,2,4
abala,3,1,a,b,a,l,a,0.0,2,2,3
abale,3,2,a,b,a,l,e,0.0,2,2,4
abalo,3,2,a,b,a,l,o,0.0001308631358546,2,2,4
abana,3,1,a,b,a,n,a,0.0,2,2,3
abane,3,2,a,b,a,n,e,3.738946738703707e-05,2,2,4
abano,3,2,a,b,a,n,o,0.0,2,2,4
abata,3,1,a,b,a,t,a,0.0,2,2,3
abate,3,2,a,b,a,t,e,7.477893477407414e-05,2,2,4
abati,3,2,a,b,a,t,i,3.738946738703707e-05,2,2,4
abato,3,2,a,b,a,t,o,0.0,2,2,4
abeto,3,3,a,b,e,t,o,0.0,2,2,5
ablua,3,2,a,b,l,u,a,0.0,2,2,4
ablui,3,3,a,b,l,u,i,0.0,2,2,5
abluo,3,3,a,b,l,u,o,0.0,2,2,5
abole,3,3,a,b,o,l,e,0.0,2,2,5
aboli,3,3,a,b,o,l,i,0.0,2,2,5
abono,3,2,a,b,o,n,o,1.869473369351853e-05,2,2,4
abram,2,1,a,b,r,a,m,0.0,3,3,4
abras,2,1,a,b,r,a,s,0.0,3,3,4
abrem,2,2,a,b,r,e,m,7.477893477407414e-05,3,3,5
abres,2,2,a,b,r,e,s,1.869473369351853e-05,3,3,5
abreu,3,3,a,b,r,e,u,0.0,2,2,5
abria,3,2,a,b,r,i,a,0.0002056420706287,2,2,4
abril,2,2,a,b,r,i,l,0.0001308631358546,3,3,5
abrir,2,2,a,b,r,i,r,0.0006356209455796,3,2,4
abris,2,2,a,b,r,i,s,1.869473369351853e-05,3,3,5
abriu,3,3,a,b,r,i,u,0.0004486736086444,2,2,5
abste,2,2,a,b,s,t,e,0.0,3,3,5
abusa,3,2,a,b,u,s,a,1.869473369351853e-05,2,2,4
abuse,3,3,a,b,u,s,e,0.0,2,2,5
abuso,3,3,a,b,u,s,o,9.347366846759269e-05,2,2,5
acaba,3,1,a,c,a,b,a,0.0003365052064833,2,2,3
acabe,3,2,a,c,a,b,e,0.0001869473369351,2,2,4
acabo,3,2,a,c,a,b,o,0.0001495578695481,2,2,4
acaso,3,2,a,c,a,s,o,0.0012338524237722,2,2,4
acata,3,1,a,c,a,t,a,0.0,2,2,3
acate,3,2,a,c,a,t,e,0.0,2,2,4
acato,3,2,a,c,a,t,o,0.0,2,2,4
acena,3,2,a,c,e,n,a,1.869473369351853e-05,2,2,4
acene,3,2,a,c,e,n,e,0.0,2,2,4
aceno,3,3,a,c,e,n,o,3.738946738703707e-05,2,2,5
acesa,3,2,a,c,e,s,a,3.738946738703707e-05,2,2,4
aceso,3,3,a,c,e,s,o,0.0001682526032416,2,2,5
aceto,3,3,a,c,e,t,o,0.0,2,2,5
achai,3,2,a,c,h,a,i,0.0,2,2,4
acham,2,1,a,c,h,a,m,7.477893477407414e-05,3,3,4
achar,2,1,a,c,h,a,r,0.0003551999401768,3,3,4
achas,2,1,a,c,h,a,s,0.0001682526032416,3,3,4
achei,3,3,a,c,h,e,i,0.0006730104129666,2,2,5
achem,2,2,a,c,h,e,m,1.869473369351853e-05,3,3,5
aches,2,2,a,c,h,e,s,1.869473369351853e-05,3,3,5
achou,3,3,a,c,h,o,u,0.000504757809725,2,2,5
acima,3,2,a,c,i,m,a,0.0005234525434185,2,2,4
acode,3,3,a,c,o,d,e,5.608420108055561e-05,2,2,5
acola,3,2,a,c,o,l,a,0.0001869473369351,2,2,4
acuai,4,3,a,c,u,a,i,0.0,1,1,4
acuam,3,2,a,c,u,a,m,0.0,2,2,4
acuar,3,2,a,c,u,a,r,0.0,2,2,4
acuas,3,2,a,c,u,a,s,0.0,2,2,4
acuda,3,2,a,c,u,d,a,5.608420108055561e-05,2,2,4
acudi,3,3,a,c,u,d,i,0.0001121684021611,2,2,5
acudo,3,3,a,c,u,d,o,1.869473369351853e-05,2,2,5
acuei,4,4,a,c,u,e,i,0.0,1,1,5
acuem,3,3,a,c,u,e,m,0.0,2,2,5
acues,3,3,a,c,u,e,s,0.0,2,2,5
acuou,4,3,a,c,u,o,u,0.0,1,1,4
acusa,3,2,a,c,u,s,a,1.869473369351853e-05,2,2,4
acuse,3,3,a,c,u,s,e,0.0,2,2,5
acuso,3,3,a,c,u,s,o,0.0,2,2,5
adaga,3,1,a,d,a,g,a,9.347366846759269e-05,2,2,3
adega,3,2,a,d,e,g,a,1.869473369351853e-05,2,2,4
adere,3,2,a,d,e,r,e,0.0,2,2,4
aderi,3,3,a,d,e,r,i,0.0,2,2,5
adeus,3,3,a,d,e,u,s,0.0002804210054027,2,2,5
adiai,4,2,a,d,i,a,i,0.0,1,1,3
adiam,3,2,a,d,i,a,m,0.0,2,2,4
adiar,3,2,a,d,i,a,r,3.738946738703707e-05,2,2,4
adias,3,2,a,d,i,a,s,0.0,2,2,4
adida,3,2,a,d,i,d,a,0.0,2,1,3
adido,3,3,a,d,i,d,o,1.869473369351853e-05,2,1,4
adiei,4,3,a,d,i,e,i,0.0,1,1,4
adiem,3,3,a,d,i,e,m,0.0,2,2,5
adies,3,3,a,d,i,e,s,0.0,2,2,5
adimo,3,3,a,d,i,m,o,0.0,2,2,5
adiou,4,4,a,d,i,o,u,0.0,1,1,5
adira,3,2,a,d,i,r,a,0.0,2,2,4
adiro,3,3,a,d,i,r,o,0.0,2,2,5
adita,3,2,a,d,i,t,a,0.0,2,2,4
adite,3,3,a,d,i,t,e,0.0,2,2,5
adito,3,3,a,d,i,t,o,3.738946738703707e-05,2,2,5
adoce,3,3,a,d,o,c,e,0.0,2,2,5
adora,3,2,a,d,o,r,a,3.738946738703707e-05,2,2,4
adore,3,3,a,d,o,r,e,0.0,2,2,5
adoro,3,2,a,d,o,r,o,1.869473369351853e-05,2,2,4
adota,3,2,a,d,o,t,a,1.869473369351853e-05,2,2,4
adote,3,3,a,d,o,t,e,0.0,2,2,5
adoto,3,2,a,d,o,t,o,0.0,2,2,4
adoca,3,2,a,d,o,c,a,0.0,2,2,4
adoco,3,2,a,d,o,c,o,0.0,2,2,4
aduba,3,2,a,d,u,b,a,0.0,2,2,4
adube,3,3,a,d,u,b,e,0.0,2,2,5
adubo,3,3,a,d,u,b,o,1.869473369351853e-05,2,2,5
adula,3,2,a,d,u,l,a,0.0,2,2,4
adule,3,3,a,d,u,l,e,0.0,2,2,5
adulo,3,3,a,d,u,l,o,0.0,2,2,5
advim,2,2,a,d,v,i,m,0.0,3,3,5
advir,2,2,a,d,v,i,r,0.0,3,3,5
advem,2,2,a,d,v,e,m,0.0,3,3,5
afaga,3,1,a,f,a,g,a,0.0,2,2,3
afago,3,2,a,f,a,g,o,1.869473369351853e-05,2,2,4
afana,3,1,a,f,a,n,a,0.0,2,2,3
afane,3,2,a,f,a,n,e,0.0,2,2,4
afano,3,2,a,f,a,n,o,0.0,2,2,4
afega,3,2,a,f,e,g,a,0.0,2,2,4
afere,3,2,a,f,e,r,e,0.0,2,2,4
aferi,3,3,a,f,e,r,i,0.0,2,2,5
afeta,3,2,a,f,e,t,a,0.0,2,2,4
afete,3,2,a,f,e,t,e,0.0,2,2,4
afeto,3,3,a,f,e,t,o,0.0001308631358546,2,2,5
afiai,4,2,a,f,i,a,i,0.0,1,1,3
afiam,3,2,a,f,i,a,m,0.0,2,2,4
afiar,3,2,a,f,i,a,r,0.0,2,2,4
afias,3,2,a,f,i,a,s,0.0,2,2,4
afiei,4,3,a,f,i,e,i,0.0,1,1,4
afiem,3,3,a,f,i,e,m,0.0,2,2,5
afies,3,3,a,f,i,e,s,0.0,2,2,5
afina,3,2,a,f,i,n,a,0.0,2,2,4
afine,3,3,a,f,i,n,e,0.0,2,2,5
afino,3,3,a,f,i,n,o,0.0,2,2,5
afins,2,2,a,f,i,n,s,0.0,3,3,5
afiou,4,4,a,f,i,o,u,0.0,1,1,5
afira,3,2,a,f,i,r,a,0.0,2,2,4
afiro,3,3,a,f,i,r,o,0.0,2,2,5
afixa,3,2,a,f,i,x,a,0.0,2,2,4
afixe,3,3,a,f,i,x,e,0.0,2,2,5
afixo,3,3,a,f,i,x,o,0.0,2,2,5
aflua,3,2,a,f,l,u,a,0.0,2,2,4
aflui,3,3,a,f,l,u,i,0.0,2,2,5
afluo,3,3,a,f,l,u,o,0.0,2,2,5
afoba,3,2,a,f,o,b,a,0.0,2,2,4
afobe,3,3,a,f,o,b,e,0.0,2,2,5
afobo,3,2,a,f,o,b,o,0.0,2,2,4
afofa,3,2,a,f,o,f,a,0.0,2,1,3
afofe,3,3,a,f,o,f,e,0.0,2,1,4
afofo,3,2,a,f,o,f,o,0.0,2,1,3
afoga,3,2,a,f,o,g,a,1.869473369351853e-05,2,2,4
afogo,3,2,a,f,o,g,o,1.869473369351853e-05,2,2,4
afora,3,2,a,f,o,r,a,1.869473369351853e-05,2,2,4
afore,3,3,a,f,o,r,e,0.0,2,2,5
aforo,3,2,a,f,o,r,o,0.0,2,2,4
afros,2,2,a,f,r,o,s,0.0,3,3,5
aftas,2,1,a,f,t,a,s,0.0,3,3,4
agiam,3,2,a,g,i,a,m,5.608420108055561e-05,2,2,4
agias,3,2,a,g,i,a,s,0.0,2,2,4
agido,3,3,a,g,i,d,o,0.0,2,2,5
agimo,3,3,a,g,i,m,o,0.0,2,2,5
agira,3,2,a,g,i,r,a,1.869473369351853e-05,2,2,4
agita,3,2,a,g,i,t,a,1.869473369351853e-05,2,2,4
agite,3,3,a,g,i,t,e,0.0,2,2,5
agito,3,3,a,g,i,t,o,0.0,2,2,5
agora,3,2,a,g,o,r,a,0.0083565459610027,2,2,4
aguai,4,3,a,g,u,a,i,0.0,1,1,4
aguam,3,2,a,g,u,a,m,0.0,2,2,4
aguar,3,2,a,g,u,a,r,0.0,2,2,4
aguas,3,2,a,g,u,a,s,0.0013834102933203,2,2,4
aguce,3,3,a,g,u,c,e,0.0,2,2,5
aguda,3,2,a,g,u,d,a,1.869473369351853e-05,2,2,4
agudo,3,3,a,g,u,d,o,0.0002430315380157,2,2,5
aguei,4,4,a,g,u,e,i,0.0,1,1,5
aguem,3,3,a,g,u,e,m,0.0,2,2,5
agues,3,3,a,g,u,e,s,0.0,2,2,5
aguou,4,3,a,g,u,o,u,0.0,1,1,4
aguca,3,2,a,g,u,c,a,0.0,2,2,4
aguco,3,3,a,g,u,c,o,0.0,2,2,5
ainda,3,2,a,i,n,d,a,0.0147314501504926,2,2,4
ajais,3,2,a,j,a,i,s,0.0,2,2,4
ajamo,3,2,a,j,a,m,o,0.0,2,2,4
ajuda,3,2,a,j,u,d,a,0.0001682526032416,2,2,4
ajude,3,3,a,j,u,d,e,0.0001308631358546,2,2,5
ajudo,3,3,a,j,u,d,o,0.0,2,2,5
alada,3,1,a,l,a,d,a,0.0,2,2,3
alado,3,2,a,l,a,d,o,1.869473369351853e-05,2,2,4
alaga,3,1,a,l,a,g,a,1.869473369351853e-05,2,2,3
alago,3,2,a,l,a,g,o,0.0,2,2,4
alcei,3,3,a,l,c,e,i,0.0,2,2,5
alcem,2,2,a,l,c,e,m,0.0,3,3,5
alces,2,2,a,l,c,e,s,0.0,3,3,5
aldea,3,2,a,l,d,e,a,0.0001308631358546,2,2,4
alega,3,2,a,l,e,g,a,0.0,2,2,4
alego,3,3,a,l,e,g,o,0.0,2,2,5
alema,3,2,a,l,e,m,a,3.738946738703707e-05,2,2,4
algas,2,1,a,l,g,a,s,3.738946738703707e-05,3,3,4
algoz,2,2,a,l,g,o,z,3.738946738703707e-05,3,3,5
algum,2,2,a,l,g,u,m,0.0050288833635564,3,3,5
alhea,3,2,a,l,h,e,a,0.0,2,2,4
alhos,2,2,a,l,h,o,s,7.477893477407414e-05,3,3,5
aliai,4,2,a,l,i,a,i,0.0,1,1,3
aliam,3,2,a,l,i,a,m,0.0,2,2,4
aliar,3,2,a,l,i,a,r,1.869473369351853e-05,2,2,4
alias,3,2,a,l,i,a,s,0.0002243368043222,2,2,4
aliei,4,3,a,l,i,e,i,0.0,1,1,4
aliem,3,3,a,l,i,e,m,1.869473369351853e-05,2,2,5
alies,3,3,a,l,i,e,s,0.0,2,2,5
alija,3,2,a,l,i,j,a,0.0,2,2,4
alije,3,3,a,l,i,j,e,0.0,2,2,5
alijo,3,3,a,l,i,j,o,0.0,2,2,5
aliou,4,4,a,l,i,o,u,0.0,1,1,5
alisa,3,2,a,l,i,s,a,0.0,2,2,4
alise,3,3,a,l,i,s,e,0.0,2,2,5
aliso,3,3,a,l,i,s,o,0.0,2,2,5
almas,2,1,a,l,m,a,s,0.0004860630760314,3,3,4
aloca,3,2,a,l,o,c,a,0.0,2,2,4
aloco,3,2,a,l,o,c,o,0.0,2,2,4
aloja,3,2,a,l,o,j,a,0.0,2,2,4
aloje,3,3,a,l,o,j,e,0.0,2,2,5
alojo,3,2,a,l,o,j,o,0.0,2,2,4
aloes,3,3,a,l,o,e,s,0.0,2,2,5
altar,2,1,a,l,t,a,r,0.0001495578695481,3,3,4
altas,2,1,a,l,t,a,s,0.0010655998205305,3,3,4
altea,3,2,a,l,t,e,a,0.0,2,2,4
altos,2,2,a,l,t,o,s,0.0007664840814342,3,3,5
aluda,3,2,a,l,u,d,a,0.0,2,2,4
alude,3,3,a,l,u,d,e,0.0,2,2,5
aludi,3,3,a,l,u,d,i,0.0,2,2,5
aludo,3,3,a,l,u,d,o,0.0,2,2,5
aluga,3,2,a,l,u,g,a,0.0,2,2,4
alugo,3,3,a,l,u,g,o,0.0,2,2,5
aluna,3,2,a,l,u,n,a,0.0,2,2,4
aluno,3,3,a,l,u,n,o,0.0,2,2,5
alvas,2,1,a,l,v,a,s,9.347366846759269e-05,3,3,4
alves,2,2,a,l,v,e,s,1.869473369351853e-05,3,3,5
alvor,2,2,a,l,v,o,r,1.869473369351853e-05,3,3,5
alvos,2,2,a,l,v,o,s,9.347366846759269e-05,3,3,5
alcai,3,2,a,l,c,a,i,0.0,2,2,4
alcam,2,1,a,l,c,a,m,0.0,3,3,4
alcar,2,1,a,l,c,a,r,3.738946738703707e-05,3,3,4
alcas,2,1,a,l,c,a,s,1.869473369351853e-05,3,3,4
alcou,3,3,a,l,c,o,u,1.869473369351853e-05,2,2,5
amada,3,1,a,m,a,d,a,0.0001308631358546,2,2,3
amado,3,2,a,m,a,d,o,0.0001121684021611,2,2,4
amais,3,2,a,m,a,i,s,0.0,2,2,4
amamo,3,2,a,m,a,m,o,0.0,2,1,3
amara,3,1,a,m,a,r,a,1.869473369351853e-05,2,2,3
amaro,3,2,a,m,a,r,o,0.0,2,2,4
amava,3,1,a,m,a,v,a,0.0001121684021611,2,2,3
ambas,2,1,a,m,b,a,s,0.0004673683423379,3,3,4
ambos,2,2,a,m,b,o,s,0.0016077470976425,3,3,5
ameba,3,2,a,m,e,b,a,0.0,2,2,4
ameia,4,3,a,m,e,i,a,0.0,1,1,4
ameis,3,3,a,m,e,i,s,0.0,2,2,5
amemo,3,3,a,m,e,m,o,0.0,2,1,4
amena,3,2,a,m,e,n,a,1.869473369351853e-05,2,2,4
ameno,3,3,a,m,e,n,o,1.869473369351853e-05,2,2,5
ameca,3,2,a,m,e,c,a,0.0,2,2,4
amido,3,3,a,m,i,d,o,0.0,2,2,5
amiga,3,2,a,m,i,g,a,0.0010282103531435,2,2,4
amigo,3,3,a,m,i,g,o,0.0034024415322203,2,2,5
amima,3,2,a,m,i,m,a,1.869473369351853e-05,2,1,3
amime,3,3,a,m,i,m,e,0.0,2,1,4
amimo,3,3,a,m,i,m,o,0.0,2,1,4
amola,3,2,a,m,o,l,a,0.0,2,2,4
amole,3,3,a,m,o,l,e,0.0,2,2,5
amolo,3,2,a,m,o,l,o,0.0,2,2,4
amora,3,2,a,m,o,r,a,0.0,2,2,4
ampla,2,1,a,m,p,l,a,0.0001495578695481,3,3,4
amplo,2,2,a,m,p,l,o,9.347366846759269e-05,3,3,5
anais,3,2,a,n,a,i,s,0.0,2,2,4
ancas,2,1,a,n,c,a,s,0.0002243368043222,3,3,4
ancia,3,2,a,n,c,i,a,1.869473369351853e-05,2,2,4
andai,3,2,a,n,d,a,i,3.738946738703707e-05,2,2,4
andam,2,1,a,n,d,a,m,0.0002430315380157,3,3,4
andar,2,1,a,n,d,a,r,0.0013460208259333,3,3,4
andas,2,1,a,n,d,a,s,7.477893477407414e-05,3,3,4
andei,3,3,a,n,d,e,i,0.0001495578695481,2,2,5
andem,2,2,a,n,d,e,m,9.347366846759269e-05,3,3,5
andes,2,2,a,n,d,e,s,9.347366846759269e-05,3,3,5
andor,2,2,a,n,d,o,r,0.0,3,3,5
andou,3,3,a,n,d,o,u,9.347366846759269e-05,2,2,5
anela,3,2,a,n,e,l,a,1.869473369351853e-05,2,2,4
anele,3,2,a,n,e,l,e,0.0,2,2,4
anelo,3,3,a,n,e,l,o,0.0001869473369351,2,2,5
anexa,3,2,a,n,e,x,a,3.738946738703707e-05,2,2,4
anexe,3,2,a,n,e,x,e,0.0,2,2,4
anexo,3,3,a,n,e,x,o,3.738946738703707e-05,2,2,5
anglo,2,2,a,n,g,l,o,0.0,3,3,5
angra,2,1,a,n,g,r,a,0.0,3,3,4
anima,3,2,a,n,i,m,a,3.738946738703707e-05,2,2,4
anime,3,3,a,n,i,m,e,0.0,2,2,5
animo,3,3,a,n,i,m,o,0.0011777682226916,2,2,5
anjos,2,2,a,n,j,o,s,0.0002056420706287,3,3,5
anota,3,2,a,n,o,t,a,0.0,2,2,4
anote,3,3,a,n,o,t,e,0.0,2,2,5
anoto,3,2,a,n,o,t,o,0.0,2,2,4
ansia,3,2,a,n,s,i,a,0.0002804210054027,2,2,4
antas,2,1,a,n,t,a,s,0.0,3,3,4
antes,2,2,a,n,t,e,s,0.0057579779776037,3,3,5
antro,2,2,a,n,t,r,o,0.0001121684021611,3,3,5
antao,3,2,a,n,t,a,o,1.869473369351853e-05,2,2,4
anual,3,2,a,n,u,a,l,3.738946738703707e-05,2,2,4
anuam,3,2,a,n,u,a,m,0.0,2,2,4
anuas,3,2,a,n,u,a,s,0.0,2,2,4
anuem,3,3,a,n,u,e,m,0.0,2,2,5
anuir,3,3,a,n,u,i,r,0.0,2,2,5
anuis,3,3,a,n,u,i,s,0.0,2,2,5
anuiu,4,3,a,n,u,i,u,0.0,1,1,4
anula,3,2,a,n,u,l,a,1.869473369351853e-05,2,2,4
anule,3,3,a,n,u,l,e,0.0,2,2,5
anulo,3,3,a,n,u,l,o,0.0,2,2,5
anuia,4,3,a,n,u,i,a,0.0,1,1,4
anzol,2,2,a,n,z,o,l,1.869473369351853e-05,3,3,5
aneis,3,3,a,n,e,i,s,0.0001308631358546,2,2,5
anoes,3,3,a,n,o,e,s,1.869473369351853e-05,2,2,5
aonde,3,3,a,o,n,d,e,0.0008412630162083,2,2,5
aorta,3,2,a,o,r,t,a,0.0,2,2,4
apaga,3,1,a,p,a,g,a,5.608420108055561e-05,2,2,3
apago,3,2,a,p,a,g,o,0.0,2,2,4
apara,3,1,a,p,a,r,a,0.0,2,2,3
apare,3,2,a,p,a,r,e,0.0,2,2,4
aparo,3,2,a,p,a,r,o,0.0,2,2,4
apeai,4,3,a,p,e,a,i,0.0,1,1,4
apear,3,2,a,p,e,a,r,0.0001682526032416,2,2,4
apeei,4,3,a,p,e,e,i,0.0,1,1,4
apega,3,2,a,p,e,g,a,0.0,2,2,4
apego,3,3,a,p,e,g,o,7.477893477407414e-05,2,2,5
apeia,4,3,a,p,e,i,a,0.0,1,1,4
apeie,4,3,a,p,e,i,e,0.0,1,1,4
apeio,4,4,a,p,e,i,o,0.0,1,1,5
apela,3,2,a,p,e,l,a,0.0,2,2,4
apele,3,2,a,p,e,l,e,0.0,2,2,4
apelo,3,3,a,p,e,l,o,3.738946738703707e-05,2,2,5
apena,3,2,a,p,e,n,a,0.0,2,2,4
apene,3,2,a,p,e,n,e,0.0,2,2,4
apeno,3,3,a,p,e,n,o,0.0,2,2,5
apeou,4,4,a,p,e,o,u,3.738946738703707e-05,1,1,5
apita,3,2,a,p,i,t,a,0.0,2,2,4
apite,3,3,a,p,i,t,e,0.0,2,2,5
apito,3,3,a,p,i,t,o,3.738946738703707e-05,2,2,5
apoio,4,3,a,p,o,i,o,0.0001495578695481,1,1,4
apoia,4,3,a,p,o,i,a,1.869473369351853e-05,1,1,4
